CÓDIGO,NOME,CH,REQ,EQV
DCC095,"TÓPICOS EM CIÊNCIA, TECNOLOGIA E SOCIEDADE I",60,VARIÁVEL,
DCC096,"TÓPICOS EM CIÊNCIA, TECNOLOGIA E SOCIEDADE II",60,VARIÁVEL,
DCC124,AMBIENTES VIRTUAIS DE APRENDIZAGEM,60,--,
EADDCC037,PROJETO DE SOFTWARE EDUCACIONAL,60,DCC061,
EADDCC043,AVALIAÇÃO DE SOFTWARE EDUCACIONAL,30,--,
EADDCC048,OBJETOS DE APRENDIZAGEM,60,EADDCC037,
DCC067,COMPUTAÇÃO EVOLUCIONISTA,60,DCC059,
DCC068,REDES NEURAIS ARTIFICIAIS,60,DCC059,
DCC069,PROGRAMAÇÃO NÃO LINEAR,60,DCC163,
DCC073,TEORIA DE FILAS,60,EST028,
DCC076,PROGRAMAÇÃO EM LÓGICA,60,DCC013 DCC160,
DCC089,TÓPICOS EM COMPUTAÇÃO CIENTIFICA I,60,VARIÁVEL,
DCC090,TÓPICOS EM COMPUTAÇÃO CIENTIFICA II,60,VARIÁVEL,
DCC136,INTELIGÊNCIA COMPUTACIONAL,60,DCC059,
DCC137,SISTEMAS NEBULOSOS,60,DCC199,
DCC140,TÓPICOS EM INTELIGÊNCIA COMPUTACIONAL I,60,VARIÁVEL,
DCC141,TÓPICOS EM INTELIGÊNCIA COMPUTACIONAL II,60,VARIÁVEL,
DCC142,ANÁLISE E PROJETO DE ALGORITMOS II,30,DCC001,
DCC166,SISTEMAS DE APOIO À DECISÃO,60,DCC014,
DCC167,SISTEMAS INTELIGENTES,60,DCC014,
DCC172,PROGRAMAÇÃO COMPETITIVA,60,DCC013,
DCC173,ANÁLISE NUMÉRICA,60,DCC008,DCC003
DCC177,PESQUISA OPERACIONAL II,60,DCC163,
DCC178,PESQUISA OPERACIONAL III,60,DCC177,
DCC190,SOLUÇÃO NUMÉRICA DE EQUAÇÕES DIFERENCIAIS,60,DCC008,DCC004
DCC033,FLUXO EM REDES,60,DCC059,
DCC037,LABORATÓRIO DE ORGANIZAÇÃO DE COMPUTADORES,30,DCC070,
DCC057,ARQUITETURA DE COMPUTADORES,60,DCC070,
DCC071,LABORATÓRIO DE SISTEMAS OPERACIONAIS,30,DCC062,
DCC072,LABORATÓRIO DE REDES DE COMPUTADORES,30,DCC042,
DCC074,AVALIAÇÃO DE DESEMPENHO DE SISTEMAS,60,DCC199 EST028,
DCC082,SISTEMAS MULTIMÍDIA,60,DCC042 DCC062,
DCC091,TÓPICOS EM REDES E PROCESSAMENTO DISTRIBUÍDO I,60,VARIÁVEL,
DCC092,TÓPICOS EM REDES E PROCESSAMENTO DISTRIBUÍDO II,60,VARIÁVEL,
DCC125,PROGRAMAÇÃO PARALELA,60,DCC062,
DCC126,TV DIGITAL,60,DCC042,
DCC128,GERÊNCIA DE REDES,30,DCC042,
DCC130,"COMPUTAÇÃO MÓVEL, UBÍQUA E PERVASIVA",30,DCC042,
DCC131,PROJETO DE REDES DE COMPUTADORES,30,DCC042,
DCC144,ADMINISTRAÇÃO DE REDES,60,DCC042,
